ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
1	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
2	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
3	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
4	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
5	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
6	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
7	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
8	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
9	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
10	67.47955062211557	67.47955062211557	67.47955062211557	67.47955062211557
