Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:42:16	19:42:16	19:42:16			19:42:16	19:42:16	19:42:16	19:42:16	19:42:16	19:42:16	19:42:16	19:42:18	19:42:18	19:42:18	19:42:18	19:42:18	19:42:18			19:42:18	19:42:18		00:00:00		00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
1	19:42:19	19:42:19	19:42:19	19:42:19	19:42:19	19:42:19	19:42:19	19:42:19	19:42:19	19:42:19	19:42:19	19:42:19	19:42:20	19:42:20	19:42:20	19:42:20	19:42:20	19:42:20			19:42:20	19:42:20		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	19:42:20	19:42:20	19:42:20	19:42:20	19:42:20	19:42:20			19:42:20	19:42:20	19:42:20	19:42:20	19:42:21	19:42:21	19:42:21	19:42:21	19:42:21	19:42:21			19:42:21	19:42:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	19:42:22	19:42:22	19:42:22	19:42:22	19:42:22	19:42:22			19:42:22	19:42:22	19:42:22	19:42:22	19:42:22	19:42:22	19:42:22	19:42:22	19:42:22	19:42:22			19:42:23	19:42:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	19:42:23	19:42:23	19:42:23	19:42:23	19:42:23	19:42:23			19:42:23	19:42:23	19:42:23	19:42:23	19:42:23	19:42:23	19:42:23	19:42:23	19:42:23	19:42:23			19:42:24	19:42:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	19:42:24	19:42:24	19:42:24	19:42:24	19:42:24	19:42:24			19:42:24	19:42:24	19:42:24	19:42:24	19:42:25	19:42:25	19:42:25	19:42:25	19:42:25	19:42:25			19:42:25	19:42:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	19:42:25	19:42:25	19:42:25	19:42:25	19:42:25	19:42:25			19:42:25	19:42:25	19:42:25	19:42:25	19:42:26	19:42:26	19:42:26	19:42:26	19:42:26	19:42:26			19:42:26	19:42:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	19:42:26	19:42:26	19:42:26	19:42:26	19:42:26	19:42:26			19:42:26	19:42:26	19:42:26	19:42:26	19:42:27	19:42:27	19:42:27	19:42:27	19:42:27	19:42:27			19:42:27	19:42:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	19:42:27	19:42:27	19:42:27	19:42:27	19:42:27	19:42:27			19:42:27	19:42:27	19:42:27	19:42:27	19:42:28	19:42:28	19:42:28	19:42:28	19:42:28	19:42:28			19:42:28	19:42:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	19:42:28	19:42:28	19:42:28	19:42:28	19:42:28	19:42:28			19:42:28	19:42:28	19:42:28	19:42:28	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29			19:42:29	19:42:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:29	19:42:30	19:42:30	19:42:30	19:42:30	19:42:30	19:42:30	19:42:30	19:42:30	19:42:31	19:42:31		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
