Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:53:52	18:53:52	18:53:52			18:53:52	18:53:52	18:53:52	18:53:52	18:53:52	18:53:52	18:53:52	18:53:54	18:53:54	18:53:54	18:53:54	18:53:54	18:53:54			18:53:55	18:53:55		00:00:00		00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
1	18:53:55	18:53:55	18:53:55	18:53:55	18:53:55	18:53:55	18:53:55	18:53:55	18:53:55	18:53:55	18:53:55	18:53:55	18:53:56	18:53:56	18:53:56	18:53:56	18:53:56	18:53:56			18:53:57	18:53:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
2	18:53:57	18:53:57	18:53:57	18:53:57	18:53:57	18:53:57			18:53:57	18:53:57	18:53:57	18:53:57	18:53:58	18:53:58	18:53:58	18:53:58	18:53:58	18:53:58			18:53:58	18:53:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
3	18:53:59	18:53:59	18:53:59	18:53:59	18:53:59	18:53:59			18:53:59	18:53:59	18:53:59	18:53:59	18:54:00	18:54:00	18:54:00	18:54:00	18:54:00	18:54:00			18:54:00	18:54:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
4	18:54:00	18:54:00	18:54:00	18:54:00	18:54:00	18:54:00			18:54:00	18:54:00	18:54:00	18:54:00	18:54:01	18:54:01	18:54:01	18:54:01	18:54:01	18:54:01			18:54:02	18:54:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
5	18:54:02	18:54:02	18:54:02	18:54:02	18:54:02	18:54:02			18:54:02	18:54:02	18:54:02	18:54:02	18:54:03	18:54:03	18:54:03	18:54:03	18:54:03	18:54:03			18:54:03	18:54:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
6	18:54:03	18:54:03	18:54:03	18:54:03	18:54:03	18:54:03			18:54:03	18:54:03	18:54:03	18:54:03	18:54:05	18:54:05	18:54:05	18:54:05	18:54:05	18:54:05			18:54:05	18:54:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	18:54:05	18:54:05	18:54:05	18:54:05	18:54:05	18:54:05			18:54:05	18:54:05	18:54:05	18:54:05	18:54:06	18:54:06	18:54:06	18:54:06	18:54:06	18:54:06			18:54:06	18:54:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
8	18:54:06	18:54:06	18:54:06	18:54:06	18:54:06	18:54:06			18:54:06	18:54:06	18:54:06	18:54:06	18:54:08	18:54:08	18:54:08	18:54:08	18:54:08	18:54:08			18:54:08	18:54:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
9	18:54:08	18:54:08	18:54:08	18:54:08	18:54:08	18:54:08			18:54:08	18:54:08	18:54:08	18:54:08	18:54:09	18:54:09	18:54:09	18:54:09	18:54:09	18:54:09			18:54:10	18:54:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:10	18:54:11	18:54:11	18:54:11	18:54:11	18:54:11	18:54:11	18:54:11	18:54:11	18:54:11	18:54:11		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
