ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
1	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
2	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
3	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
4	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
5	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
6	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
7	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
8	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
9	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
10	74.19422636545936	74.19422636545936	74.19422636545936	74.19422636545936
